*****    Output from ip_address_counter.py    *****
*****             --  2022, Stephen Graham    *****

Last run on:  Jun 08, 2022  00:30:45:30AM

Files:
	access.443.20220504
	access.443.20220505
	access.443.20220506
	access.443.20220507

-----  Most Hits:  -----

146.165.240.211              237,735
40.77.167.30                  77,557
157.55.39.1                   64,974
40.77.167.75                  63,383
157.55.39.189                 63,342
2001:4d0:2340:4001::20e8      54,397
207.46.13.217                 54,374
207.46.13.27                  37,809
13.66.139.0                   35,560
157.55.39.245                 21,273
216.245.221.89                11,504
157.55.39.229                  7,787
69.162.124.235                 6,903
170.185.80.228                 6,316
69.162.124.233                 5,752
152.22.84.25                   4,965
68.188.62.34                   4,909
156.68.179.230                 2,958
156.68.179.233                 2,917
216.245.221.87                 2,879
204.29.67.118                  2,715
204.29.67.116                  2,684
156.68.182.2                   2,447
204.29.67.117                  2,381
64.5.147.2                     2,363
23.111.152.74                  2,300
104.172.201.0                  2,046
156.68.218.15                  1,990
193.191.148.194                1,896
172.74.36.114                  1,706
159.122.168.9                  1,606
185.191.171.4                  1,414
146.168.25.44                  1,315
185.191.171.8                  1,296
68.117.190.56                  1,262
185.191.171.15                 1,249
185.191.171.10                 1,242
151.106.52.134                 1,242
47.181.84.31                   1,240
185.191.171.7                  1,234
185.191.171.26                 1,214
185.191.171.1                  1,213
185.191.171.6                  1,177
185.191.171.23                 1,172
185.191.171.25                 1,164
185.191.171.11                 1,159
96.47.225.18                   1,154
185.191.171.3                  1,154
185.246.208.82                 1,152
89.163.242.206                 1,150
104.129.30.18                  1,150
169.51.2.18                    1,150
146.165.254.29                 1,141
185.191.171.24                 1,130
23.83.129.219                  1,130
185.191.171.9                  1,127
156.68.179.36                  1,107
185.191.171.2                  1,103
185.191.171.22                 1,089
185.191.171.44                 1,065
166.70.192.27                  1,060
76.72.172.208                  1,056
185.191.171.40                 1,006
185.191.171.18                   990
185.191.171.43                   978
185.191.171.38                   942
66.249.66.130                    921
71.83.131.34                     899
185.191.171.42                   897
185.191.171.45                   895
104.225.178.175                  864
184.75.210.226                   863
185.191.171.16                   861
72.46.130.18                     848
50.206.73.246                    847
94.75.211.73                     844
185.191.171.33                   843
185.191.171.39                   841
196.240.207.18                   840
204.116.211.125                  839
185.191.171.19                   827
162.208.48.94                    806
185.191.171.21                   801
185.191.171.36                   800
184.19.24.216                    786
185.191.171.17                   783
185.191.171.35                   749
185.191.171.12                   745
185.191.171.14                   744
156.68.103.90                    732
185.191.171.37                   731
212.78.83.16                     705
185.191.171.34                   693
41.205.38.174                    683
170.185.58.19                    683
185.191.171.13                   680
185.191.171.41                   677
66.249.66.132                    668
93.192.33.104                    668
82.103.139.165                   666
184.75.214.66                    654
174.34.156.130                   650
199.87.228.66                    640
23.106.37.99                     634
146.168.43.52                    631
98.26.34.136                     631
185.191.171.20                   612
173.251.109.130                  593
50.192.9.121                     587
128.120.236.91                   585
195.148.200.182                  580
172.241.112.86                   576
148.72.171.17                    574
97.95.40.185                     574
72.46.131.10                     573
162.218.67.34                    572
184.8.91.33                      563
199.116.152.72                   549
204.14.14.133                    534
156.68.208.78                    532
75.113.115.150                   517
170.185.80.205                   515
170.185.80.217                   511
185.93.3.65                      510
152.22.80.25                     508
